_row,file_name,seed_category,pang_candidate,wat,ai_pang,ai_confidence,ai_note,license,author,url
31,พระพุทธรูปประจำวันเกิด วัดโพธิ์ธาตุ.jpg,Statues of the Buddha reclining in Thailand,saiyat,วัดโพธิ์ธาตุ.jpg,uncertain,low,row of small Buddhas on balustrade,CC BY 4.0,Chin Jirayu,https://upload.wikimedia.org/wikipedia/commons/3/38/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B3%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%94_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8.jpg
32,วัดป่าประดู่ พระอารามหลวง 03.jpg,Statues of the Buddha reclining in Thailand,saiyat,วัดป่าประดู่,saiyat,high,reclining in hall,CC BY-SA 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/7/7c/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9B%E0%B9%88%E0%B8%B2%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B9%E0%B9%88_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87_03.jpg
33,วัดราชโอรสารามราชวรวิหาร เขตจอมทอง กรุงเทพมหานคร (9).JPG,Statues of the Buddha reclining in Thailand,saiyat,วัดราชโอรสารามราชวรวิหาร,saiyat,high,reclining head on hand,CC BY-SA 4.0,กสิณธร ราชโอรส,https://upload.wikimedia.org/wikipedia/commons/4/4d/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B9%82%E0%B8%AD%E0%B8%A3%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%88%E0%B8%AD%E0%B8%A1%E0%B8%97%E0%B8%AD%E0%B8%87_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%289%29.JPG
34,วัดสุทัศนเทพวรารามราชวรมหาวิหาร เขตพระนคร กรุงเทพมหานคร (63).jpg,Statues of the Buddha reclining in Thailand,saiyat,วัดสุทัศนเทพวรารามราชวรมหาวิหาร,saiyat,high,reclining in temple,CC BY-SA 4.0,กสิณธร ราชโอรส,https://upload.wikimedia.org/wikipedia/commons/6/6d/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2863%29.jpg
35,วัดไผ่ล้อม พระอารามหลวง.jpg,Statues of the Buddha reclining in Thailand,saiyat,วัดไผ่ล้อม,saiyat,high,reclining in white hall,CC BY-SA 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/2/27/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%84%E0%B8%9C%E0%B9%88%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%A1_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87.jpg
36,หลวงพ่อนอนหงาย วัดราชคฤห์ Tuning up Buddha of Wat Ratchakrueh.jpg,Statues of the Buddha reclining in Thailand,saiyat,วัดราชคฤห์,saiyat,medium,reclining draped yellow + bust foreground,CC BY-SA 3.0,กสิณธร ราชโอรส,https://upload.wikimedia.org/wikipedia/commons/a/a1/%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B8%AB%E0%B8%87%E0%B8%B2%E0%B8%A2_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%84%E0%B8%A4%E0%B8%AB%E0%B9%8C_Tuning_up_Buddha_of_Wat_Ratchakrueh.jpg
37,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 01.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/3/37/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_01.jpg
38,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 02.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/5/52/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_02.jpg
39,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 03.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/8/81/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_03.jpg
40,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 04.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/0/0e/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_04.jpg
41,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 05.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/8/80/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_05.jpg
42,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 06.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/6/65/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_06.jpg
43,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 07.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/0/02/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_07.jpg
44,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 08.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/5/50/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_08.jpg
45,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 09.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/c/cd/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_09.jpg
46,ถ้ำหลวงพ่อปู่ใหญ่ (พุหางนาค) (2016) - img 10.jpg,Luang Pho Pu Yai Cave,saiyat,,exclude,high,"information sign, no statue",CC BY 4.0,Chainwit.,https://upload.wikimedia.org/wikipedia/commons/9/9e/%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B8%9E%E0%B9%88%E0%B8%AD%E0%B8%9B%E0%B8%B9%E0%B9%88%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88_%28%E0%B8%9E%E0%B8%B8%E0%B8%AB%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%B2%E0%B8%84%29_%282016%29_-_img_10.jpg
47,Reclining Budda (16918533514).jpg,Reclining Buddha of Wat Bowonniwet,saiyat,Wat Bowonniwet,saiyat,high,Wat Bowonniwet reclining,CC BY 2.0,Benjamin Smith from United States,https://upload.wikimedia.org/wikipedia/commons/a/a6/Reclining_Budda_%2816918533514%29.jpg
48,พระไสยา Reclining Buddha of Wat Bowonniwet.jpg,Reclining Buddha of Wat Bowonniwet,saiyat,Wat Bowonniwet,saiyat,high,Wat Bowonniwet reclining,CC BY-SA 3.0,กสิณธร ราชโอรส,https://upload.wikimedia.org/wikipedia/commons/e/ed/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%84%E0%B8%AA%E0%B8%A2%E0%B8%B2_Reclining_Buddha_of_Wat_Bowonniwet.jpg
49,พระไสยา.jpg,Reclining Buddha of Wat Bowonniwet,saiyat,Wat Bowonniwet,saiyat,high,Wat Bowonniwet reclining,CC BY-SA 3.0,กสิณธร ราชโอรส,https://upload.wikimedia.org/wikipedia/commons/8/8e/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%84%E0%B8%AA%E0%B8%A2%E0%B8%B2.jpg
50,วัดบวรนิเวศวิหารราชวรวิหาร เขตพระนคร กรุงเทพมหานคร (37).jpg,Reclining Buddha of Wat Bowonniwet,saiyat,Wat Bowonniwet,saiyat,high,Wat Bowonniwet reclining,CC BY-SA 4.0,กสิณธร ราชโอรส,https://upload.wikimedia.org/wikipedia/commons/7/79/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9A%E0%B8%A7%E0%B8%A3%E0%B8%99%E0%B8%B4%E0%B9%80%E0%B8%A7%E0%B8%A8%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2837%29.jpg
