image_id,file_name,seed_category,pang_candidate,scope,wat,license,author,width,height,url,thumb_url,sha1
File:DSC 0115s.JPG,DSC 0115s.JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,,FAL,sjthai,902,600,https://upload.wikimedia.org/wikipedia/commons/f/fb/DSC_0115s.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/DSC%200115s.JPG,f8d01dd78e0ac45b461d07e79b871745592f01af
"File:Golden Mount, Bangkok, Thailand (4244524418).jpg","Golden Mount, Bangkok, Thailand (4244524418).jpg",Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY 2.0,yeowatzup,3888,2592,https://upload.wikimedia.org/wikipedia/commons/1/16/Golden_Mount%2C_Bangkok%2C_Thailand_%284244524418%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Golden%20Mount%2C%20Bangkok%2C%20Thailand%20%284244524418%29.jpg,6d48b9f784a1656be2a68602ae7cb568de43c0f7
"File:Golden Mount, Bangkok, Thailand (4244531254).jpg","Golden Mount, Bangkok, Thailand (4244531254).jpg",Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY 2.0,yeowatzup,3888,2592,https://upload.wikimedia.org/wikipedia/commons/b/b9/Golden_Mount%2C_Bangkok%2C_Thailand_%284244531254%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Golden%20Mount%2C%20Bangkok%2C%20Thailand%20%284244531254%29.jpg,abb761b91853e06c99c20b34abe152d47c5fe48c
File:Kamphaeng Phet04 (banner esvoy).JPG,Kamphaeng Phet04 (banner esvoy).JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 3.0,Meneerke bloem,3008,1692,https://upload.wikimedia.org/wikipedia/commons/d/d4/Kamphaeng_Phet04_%28banner_esvoy%29.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Kamphaeng%20Phet04%20%28banner%20esvoy%29.JPG,e0fa56a31ea55ca7ecc6f805fec5c7df27b94dc9
File:Kamphaeng Phet04 (esvoy banner).JPG,Kamphaeng Phet04 (esvoy banner).JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 3.0,Meneerke bloem,1700,567,https://upload.wikimedia.org/wikipedia/commons/1/15/Kamphaeng_Phet04_%28esvoy_banner%29.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Kamphaeng%20Phet04%20%28esvoy%20banner%29.JPG,ff6ef3844a67bebb9c9a94cc7957adeb17f6d76e
File:Kamphaeng Phet04.JPG,Kamphaeng Phet04.JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 3.0,Meneerke bloem,3008,2000,https://upload.wikimedia.org/wikipedia/commons/5/5c/Kamphaeng_Phet04.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Kamphaeng%20Phet04.JPG,ef515ba02500d3041633253cfaacbacfd4798eb6
File:Kamphaeng Phet06.JPG,Kamphaeng Phet06.JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 3.0,Meneerke bloem,3072,2304,https://upload.wikimedia.org/wikipedia/commons/b/b7/Kamphaeng_Phet06.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Kamphaeng%20Phet06.JPG,3bba467207085dab9969510e3e44d8f2d46c4b41
File:Nontwatmon040909c.jpg,Nontwatmon040909c.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Paramaiyikawat Worawihan,CC BY-SA 3.0,Hdamm,2272,1704,https://upload.wikimedia.org/wikipedia/commons/a/af/Nontwatmon040909c.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Nontwatmon040909c.jpg,6988619166cb007109cffe23f1d404fea650e64a
File:Open pagoda Ayutthaya (Buddha).JPG,Open pagoda Ayutthaya (Buddha).JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 3.0,Ramón Ortega (tres),1536,2048,https://upload.wikimedia.org/wikipedia/commons/2/2e/Open_pagoda_Ayutthaya_%28Buddha%29.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Open%20pagoda%20Ayutthaya%20%28Buddha%29.JPG,168c0339f8b3b6b5a06474a3a990f580eff93fc7
File:Open Pagoda of Buda in Ayutthaya.JPG,Open Pagoda of Buda in Ayutthaya.JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 3.0,Ramón Ortega (tres),1536,2048,https://upload.wikimedia.org/wikipedia/commons/7/76/Open_Pagoda_of_Buda_in_Ayutthaya.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Open%20Pagoda%20of%20Buda%20in%20Ayutthaya.JPG,bebb7816089e713a784547532b54c898785e4788
File:Reclining Buddha of Wat Phra Singh.jpg,Reclining Buddha of Wat Phra Singh.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Phra Singh,CC BY-SA 4.0,Christophe95,3888,5184,https://upload.wikimedia.org/wikipedia/commons/a/a6/Reclining_Buddha_of_Wat_Phra_Singh.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Reclining%20Buddha%20of%20Wat%20Phra%20Singh.jpg,ac6e549aa628e938189fa63debd13783207d724f
File:Reclining Buddha statue in Phuket.jpg,Reclining Buddha statue in Phuket.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 3.0,,2560,1920,https://upload.wikimedia.org/wikipedia/commons/f/ff/Reclining_Buddha_statue_in_Phuket.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Reclining%20Buddha%20statue%20in%20Phuket.jpg,b18093882cc9363088458128e03ae6e93b98c6b8
File:Reclining Buddha Wat Saphan Lueak.jpg,Reclining Buddha Wat Saphan Lueak.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Saphan Lueak,CC BY-SA 4.0,"This Photo was taken by Adirach Toumlamoon.

Feel free to use any of my images, but please mention me as the author and may send me a message.  (ภาพถ่ายสามารถนำไปใช้งานได้เลย แต่ขอให้ใส่เครดิตแก่ผู้ถ่ายเพื่อแสดงที่มาและอาจจะส่งข้อความแจ้งด้วยก็ได้) 






Please do not upload an edited image here without consulting me.  I would like to make corrections only at my own source to ensure that the changes improve the image and are preserved.Otherwise you may upload an edited image with a new name. Please use one of the templates derivative or extract.",4096,2730,https://upload.wikimedia.org/wikipedia/commons/2/2b/Reclining_Buddha_Wat_Saphan_Lueak.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Reclining%20Buddha%20Wat%20Saphan%20Lueak.jpg,780905c02b81f4faecb550e20e9eaa23834b9d72
File:Thailande - Ayutthaya - Boudha couché.jpg,Thailande - Ayutthaya - Boudha couché.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,,CC BY-SA 3.0,Serge Ottaviani,1792,1200,https://upload.wikimedia.org/wikipedia/commons/e/e3/Thailande_-_Ayutthaya_-_Boudha_couch%C3%A9.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Thailande%20-%20Ayutthaya%20-%20Boudha%20couch%C3%A9.jpg,02fd7960023aa6a89e4d73c51bc6ae3ced9e9176
File:Wat Dhammachaksemaram-HDR.jpg,Wat Dhammachaksemaram-HDR.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Dhammachaksemaram,CC BY-SA 3.0,Ddalbiez,9017,2664,https://upload.wikimedia.org/wikipedia/commons/9/9d/Wat_Dhammachaksemaram-HDR.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Wat%20Dhammachaksemaram-HDR.jpg,ff8a1fee56f7338481e3d7e198bc831e72516937
File:Wat Khao Tao - panoramio (3).jpg,Wat Khao Tao - panoramio (3).jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Khao Tao,CC BY 3.0,josef knecht,1024,762,https://upload.wikimedia.org/wikipedia/commons/d/d2/Wat_Khao_Tao_-_panoramio_%283%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Wat%20Khao%20Tao%20-%20panoramio%20%283%29.jpg,493ed62216760b8443e47e13267476fdb0f3ac19
File:Wat Phra Kaeo KPP banner.png,Wat Phra Kaeo KPP banner.png,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Phra Kaeo KPP,CC BY-SA 3.0,User:Meneerke bloem,3008,426,https://upload.wikimedia.org/wikipedia/commons/9/9e/Wat_Phra_Kaeo_KPP_banner.png,https://commons.wikimedia.org/wiki/Special:FilePath/Wat%20Phra%20Kaeo%20KPP%20banner.png,96774eb98d23b5707e3b5dfe20de21889f80d091
File:Wat Poramaiyikawat 2.jpg,Wat Poramaiyikawat 2.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Poramaiyikawat,CC BY-SA 4.0,Manoonp,2093,3140,https://upload.wikimedia.org/wikipedia/commons/6/66/Wat_Poramaiyikawat_2.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Wat%20Poramaiyikawat%202.jpg,bb9e6f6a83a31fe68118019e7550a89351ac3de9
File:Wat Ratchakrue Reclining Buddha.jpg,Wat Ratchakrue Reclining Buddha.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Ratchakrue Reclining Buddha,CC BY-SA 4.0,Peerasan.tkj,1477,1108,https://upload.wikimedia.org/wikipedia/commons/4/44/Wat_Ratchakrue_Reclining_Buddha.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Wat%20Ratchakrue%20Reclining%20Buddha.jpg,fc1f0bf21f07b002b1008bb861c10c33a9c20e81
File:Wat-Phra-Baromathat-Nakhon-Srithammarat-Buddhas-Apr-2001-23.JPG,Wat-Phra-Baromathat-Nakhon-Srithammarat-Buddhas-Apr-2001-23.JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,Wat Phra Baromathat Nakhon Srithammarat,CC BY-SA 3.0,Matthew Laird Acred http://www.asisbiz.com/Thailand.htmlAcred99 (talk),1280,960,https://upload.wikimedia.org/wikipedia/commons/3/3f/Wat-Phra-Baromathat-Nakhon-Srithammarat-Buddhas-Apr-2001-23.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Wat-Phra-Baromathat-Nakhon-Srithammarat-Buddhas-Apr-2001-23.JPG,a3b1450c719f58ece005a5a6d601850cd208e73d
File:พระพุทธรูปประจำพระชนมวารสมเด็จฯเจ้าฟ้าเพชรรัตน์.jpg,พระพุทธรูปประจำพระชนมวารสมเด็จฯเจ้าฟ้าเพชรรัตน์.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,,Public domain,Phum Kaewmanee at Thai Wikipedia,586,346,https://upload.wikimedia.org/wikipedia/commons/2/22/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B3%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%99%E0%B8%A1%E0%B8%A7%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%AF%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B3%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%8A%E0%B8%99%E0%B8%A1%E0%B8%A7%E0%B8%B2%E0%B8%A3%E0%B8%AA%E0%B8%A1%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%88%E0%B8%AF%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%9E%E0%B8%8A%E0%B8%A3%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C.jpg,58e0a9aacf03a787f1d593535ac19ba3deaeb9cc
File:พระพุทธรูปประจำวันเกิด วัดโพธิ์ธาตุ.jpg,พระพุทธรูปประจำวันเกิด วัดโพธิ์ธาตุ.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,วัดโพธิ์ธาตุ.jpg,CC BY 4.0,Chin Jirayu,2048,1536,https://upload.wikimedia.org/wikipedia/commons/3/38/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B3%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%94_%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%A3%E0%B8%B9%E0%B8%9B%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B3%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%94%20%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%82%E0%B8%9E%E0%B8%98%E0%B8%B4%E0%B9%8C%E0%B8%98%E0%B8%B2%E0%B8%95%E0%B8%B8.jpg,e3f5e8c1cde145f22bb6a5e20b76e2cba8da9286
File:วัดป่าประดู่ พระอารามหลวง 03.jpg,วัดป่าประดู่ พระอารามหลวง 03.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,วัดป่าประดู่,CC BY-SA 4.0,Chainwit.,3936,3056,https://upload.wikimedia.org/wikipedia/commons/7/7c/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9B%E0%B9%88%E0%B8%B2%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B9%E0%B9%88_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87_03.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%9B%E0%B9%88%E0%B8%B2%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B9%E0%B9%88%20%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%2003.jpg,c509787095d376024fa315ca5794e8efd6455a88
File:วัดราชโอรสารามราชวรวิหาร เขตจอมทอง กรุงเทพมหานคร (9).JPG,วัดราชโอรสารามราชวรวิหาร เขตจอมทอง กรุงเทพมหานคร (9).JPG,Statues of the Buddha reclining in Thailand,saiyat,thailand,วัดราชโอรสารามราชวรวิหาร,CC BY-SA 4.0,กสิณธร ราชโอรส,4320,3240,https://upload.wikimedia.org/wikipedia/commons/4/4d/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B9%82%E0%B8%AD%E0%B8%A3%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%88%E0%B8%AD%E0%B8%A1%E0%B8%97%E0%B8%AD%E0%B8%87_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%289%29.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B9%82%E0%B8%AD%E0%B8%A3%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3%20%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%88%E0%B8%AD%E0%B8%A1%E0%B8%97%E0%B8%AD%E0%B8%87%20%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%20%289%29.JPG,e39af16a647f2e4611972ddadb926682fe78558b
File:วัดสุทัศนเทพวรารามราชวรมหาวิหาร เขตพระนคร กรุงเทพมหานคร (63).jpg,วัดสุทัศนเทพวรารามราชวรมหาวิหาร เขตพระนคร กรุงเทพมหานคร (63).jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,วัดสุทัศนเทพวรารามราชวรมหาวิหาร,CC BY-SA 4.0,กสิณธร ราชโอรส,4320,3240,https://upload.wikimedia.org/wikipedia/commons/6/6d/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3_%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3_%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3_%2863%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%B1%E0%B8%A8%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A7%E0%B8%A3%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A7%E0%B8%A3%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3%20%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%99%E0%B8%84%E0%B8%A3%20%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3%20%2863%29.jpg,1c1909236ed20fe5679ffcec7d8882c7834c0ccf
File:วัดไผ่ล้อม พระอารามหลวง.jpg,วัดไผ่ล้อม พระอารามหลวง.jpg,Statues of the Buddha reclining in Thailand,saiyat,thailand,วัดไผ่ล้อม,CC BY-SA 4.0,Chainwit.,4080,3184,https://upload.wikimedia.org/wikipedia/commons/2/27/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%84%E0%B8%9C%E0%B9%88%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%A1_%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%84%E0%B8%9C%E0%B9%88%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%A1%20%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87.jpg,73ca0f6854cf1b94983d330eacd447361b12dbfd
